Quiz_Score,Group_Score,Research_Score,Seatwork_Score,Target_Quadrant
0.4,0.5,0.4318,0.63,Distributed-Collective
0.94,0.0,0.4318,0.86,Hierarchical-Collective
0.4,1.0,0.4318,0.63,Distributed-Collective
0.94,0.5,0.4318,0.86,Hierarchical-Collective
0.4,1.0,0.4318,0.63,Distributed-Collective
0.94,0.5,0.4318,0.86,Hierarchical-Collective
0.4,0.5,0.4318,0.63,Distributed-Collective
0.94,0.0,0.4318,0.86,Hierarchical-Collective
0.48,1.0,0.6591,0.57,Hierarchical-Collective
0.6,0.5,0.6591,0.74,Hierarchical-Collective
0.48,1.0,0.6591,0.57,Hierarchical-Collective
0.6,0.5,0.6591,0.74,Hierarchical-Collective
0.58,0.5,0.5682,0.91,Hierarchical-Collective
0.58,0.5,0.5682,0.91,Hierarchical-Collective
0.92,0.5,0.3864,0.74,Distributed-Collective
0.92,0.5,0.3864,0.74,Distributed-Collective
0.92,0.5,0.3864,0.74,Distributed-Collective
0.92,1.0,0.3864,0.74,Distributed-Collective
0.92,0.5,0.3864,0.74,Distributed-Collective
0.92,1.0,0.3864,0.74,Distributed-Collective
0.92,1.0,0.3864,0.74,Distributed-Collective
0.58,0.5,0.5227,0.65,Hierarchical-Collective
0.93,1.0,0.5227,1.0,Distributed-Individual
0.58,0.5,0.5227,0.65,Hierarchical-Collective
0.93,1.0,0.5227,1.0,Distributed-Individual
0.58,0.0,0.5227,0.65,Hierarchical-Collective
0.93,0.5,0.5227,1.0,Distributed-Individual
0.58,0.0,0.5227,0.65,Hierarchical-Collective
0.93,0.5,0.5227,1.0,Distributed-Individual
0.58,0.5,0.5227,0.65,Hierarchical-Collective
0.93,1.0,0.5227,1.0,Distributed-Individual
0.73,0.5,0.3864,0.68,Distributed-Individual
0.69,0.5,0.3864,0.64,Distributed-Collective
0.87,0.5,0.3864,0.68,Hierarchical-Individual
0.88,0.0,0.3864,0.64,Hierarchical-Individual
0.78,0.5,0.3864,0.73,Distributed-Individual
0.73,0.5,0.3864,0.68,Distributed-Individual
0.69,0.5,0.3864,0.64,Distributed-Collective
0.87,0.5,0.3864,0.68,Hierarchical-Individual
0.88,0.0,0.3864,0.64,Hierarchical-Individual
0.78,0.5,0.3864,0.73,Distributed-Individual
0.73,0.5,0.3864,0.68,Distributed-Individual
0.69,0.5,0.3864,0.64,Distributed-Collective
0.87,0.5,0.3864,0.68,Hierarchical-Individual
0.88,0.0,0.3864,0.64,Hierarchical-Individual
0.78,0.5,0.3864,0.73,Distributed-Individual
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.87,0.0,0.3864,0.64,Distributed-Individual
0.82,0.5,0.3864,0.7,Hierarchical-Collective
0.87,0.0,0.3864,0.64,Distributed-Individual
0.82,0.5,0.3864,0.7,Hierarchical-Collective
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.87,0.0,0.3864,0.64,Distributed-Individual
0.82,0.5,0.3864,0.7,Hierarchical-Collective
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.87,0.0,0.3864,0.64,Distributed-Individual
0.82,0.5,0.3864,0.7,Hierarchical-Collective
0.87,0.5,0.3864,0.64,Distributed-Individual
0.82,1.0,0.3864,0.7,Hierarchical-Collective
0.86,0.5,0.4773,0.66,Hierarchical-Collective
0.96,1.0,0.4773,0.77,Hierarchical-Individual
0.86,0.5,0.4773,0.66,Hierarchical-Collective
0.96,1.0,0.4773,0.77,Hierarchical-Individual
0.86,0.5,0.4773,0.66,Hierarchical-Collective
0.96,1.0,0.4773,0.77,Hierarchical-Individual
0.86,0.0,0.4773,0.66,Hierarchical-Collective
0.96,0.5,0.4773,0.77,Hierarchical-Individual
0.86,0.5,0.4773,0.66,Hierarchical-Collective
0.96,1.0,0.4773,0.77,Hierarchical-Individual
0.86,0.5,0.4773,0.66,Hierarchical-Collective
0.96,1.0,0.4773,0.77,Hierarchical-Individual
0.86,0.0,0.4773,0.66,Hierarchical-Collective
0.96,0.5,0.4773,0.77,Hierarchical-Individual
0.4,0.5,0.2045,0.55,Distributed-Collective
0.46,0.5,0.2045,0.73,Distributed-Collective
0.68,0.5,0.2273,0.71,Hierarchical-Collective
0.78,0.5,0.2273,0.85,Distributed-Collective
0.42,0.5,0.3864,0.75,Distributed-Collective
0.64,0.5,0.3864,0.87,Hierarchical-Collective
0.49,0.5,0.3864,0.88,Distributed-Collective
0.42,1.0,0.3864,0.75,Distributed-Collective
0.64,1.0,0.3864,0.87,Hierarchical-Collective
0.49,1.0,0.3864,0.88,Distributed-Collective
0.42,0.5,0.3864,0.75,Distributed-Collective
0.64,0.5,0.3864,0.87,Hierarchical-Collective
0.49,0.5,0.3864,0.88,Distributed-Collective
0.42,1.0,0.3864,0.75,Distributed-Collective
0.64,1.0,0.3864,0.87,Hierarchical-Collective
0.49,1.0,0.3864,0.88,Distributed-Collective
0.42,1.0,0.3864,0.75,Distributed-Collective
0.64,1.0,0.3864,0.87,Hierarchical-Collective
0.49,1.0,0.3864,0.88,Distributed-Collective
0.4,1.0,0.5,0.74,Distributed-Collective
0.4,0.5,0.5,0.74,Distributed-Collective
0.4,1.0,0.5,0.74,Distributed-Collective
0.4,1.0,0.5,0.74,Distributed-Collective
0.4,1.0,0.5,0.74,Distributed-Collective
0.56,0.5,0.3409,0.5,Hierarchical-Collective
0.89,1.0,0.3409,0.87,Hierarchical-Collective
0.75,1.0,0.3409,0.56,Distributed-Individual
0.56,0.0,0.3409,0.5,Hierarchical-Collective
0.89,0.5,0.3409,0.87,Hierarchical-Collective
0.75,0.5,0.3409,0.56,Distributed-Individual
0.56,0.0,0.3409,0.5,Hierarchical-Collective
0.89,0.5,0.3409,0.87,Hierarchical-Collective
0.75,0.5,0.3409,0.56,Distributed-Individual
0.56,0.0,0.3409,0.5,Hierarchical-Collective
0.89,0.5,0.3409,0.87,Hierarchical-Collective
0.75,0.5,0.3409,0.56,Distributed-Individual
0.56,0.5,0.3409,0.5,Hierarchical-Collective
0.89,1.0,0.3409,0.87,Hierarchical-Collective
0.75,1.0,0.3409,0.56,Distributed-Individual
0.56,0.0,0.3409,0.5,Hierarchical-Collective
0.89,0.5,0.3409,0.87,Hierarchical-Collective
0.75,0.5,0.3409,0.56,Distributed-Individual
0.71,1.0,0.2727,0.66,Hierarchical-Individual
0.48,1.0,0.2727,0.55,Hierarchical-Collective
0.71,1.0,0.2727,0.66,Hierarchical-Individual
0.48,1.0,0.2727,0.55,Hierarchical-Collective
0.91,0.5,0.6591,0.67,Hierarchical-Individual
0.91,1.0,0.6591,0.67,Hierarchical-Individual
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,1.0,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,1.0,0.4318,0.91,Distributed-Collective
0.56,1.0,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,1.0,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.56,0.5,0.4318,0.91,Distributed-Collective
0.97,0.5,0.4545,0.93,Distributed-Collective
0.67,0.5,0.4545,0.68,Distributed-Individual
0.65,0.0,0.4545,0.8,Hierarchical-Individual
0.97,1.0,0.4545,0.93,Distributed-Collective
0.67,1.0,0.4545,0.68,Distributed-Individual
0.65,0.5,0.4545,0.8,Hierarchical-Individual
0.97,1.0,0.4545,0.93,Distributed-Collective
0.67,1.0,0.4545,0.68,Distributed-Individual
0.65,0.5,0.4545,0.8,Hierarchical-Individual
0.97,1.0,0.4545,0.93,Distributed-Collective
0.67,1.0,0.4545,0.68,Distributed-Individual
0.65,0.5,0.4545,0.8,Hierarchical-Individual
0.97,1.0,0.4545,0.93,Distributed-Collective
0.67,1.0,0.4545,0.68,Distributed-Individual
0.65,0.5,0.4545,0.8,Hierarchical-Individual
0.77,1.0,0.25,0.59,Hierarchical-Collective
0.77,0.5,0.25,0.69,Hierarchical-Individual
0.9,0.5,0.25,0.62,Hierarchical-Individual
0.98,1.0,0.25,0.8,Hierarchical-Collective
0.83,1.0,0.25,0.96,Distributed-Collective
0.77,1.0,0.25,0.59,Hierarchical-Collective
0.77,0.5,0.25,0.69,Hierarchical-Individual
0.9,0.5,0.25,0.62,Hierarchical-Individual
0.98,1.0,0.25,0.8,Hierarchical-Collective
0.83,1.0,0.25,0.96,Distributed-Collective
0.72,0.5,0.3864,0.88,Hierarchical-Collective
0.58,0.5,0.3864,0.79,Distributed-Individual
0.72,0.5,0.3864,0.88,Hierarchical-Collective
0.58,0.5,0.3864,0.79,Distributed-Individual
0.72,0.5,0.3864,0.88,Hierarchical-Collective
0.58,0.5,0.3864,0.79,Distributed-Individual
0.72,0.0,0.3864,0.88,Hierarchical-Collective
0.58,0.0,0.3864,0.79,Distributed-Individual
0.72,0.0,0.3864,0.88,Hierarchical-Collective
0.58,0.0,0.3864,0.79,Distributed-Individual
0.46,1.0,0.4773,0.65,Hierarchical-Collective
0.46,0.5,0.4773,0.65,Hierarchical-Collective
0.46,0.5,0.4773,0.65,Hierarchical-Collective
0.63,0.5,0.2955,0.64,Hierarchical-Individual
0.77,0.0,0.2955,0.73,Distributed-Collective
1.0,0.5,0.2955,0.98,Hierarchical-Individual
0.9,0.5,0.2955,0.66,Distributed-Individual
0.46,0.5,0.2955,0.85,Distributed-Individual
0.61,0.0,0.2955,0.89,Hierarchical-Collective
0.63,1.0,0.2955,0.64,Hierarchical-Individual
0.77,0.5,0.2955,0.73,Distributed-Collective
1.0,1.0,0.2955,0.98,Hierarchical-Individual
0.9,1.0,0.2955,0.66,Distributed-Individual
0.46,1.0,0.2955,0.85,Distributed-Individual
0.61,0.5,0.2955,0.89,Hierarchical-Collective
0.75,0.5,0.5,0.96,Hierarchical-Collective
0.75,0.5,0.5,0.96,Hierarchical-Collective
0.75,0.5,0.5,0.96,Hierarchical-Collective
0.75,0.5,0.5,0.96,Hierarchical-Collective
0.75,0.5,0.5,0.96,Hierarchical-Collective
0.52,0.5,0.3636,0.9,Distributed-Individual
0.52,0.5,0.3636,0.9,Distributed-Individual
0.52,1.0,0.3636,0.9,Distributed-Individual
0.52,0.5,0.3636,0.9,Distributed-Individual
0.52,1.0,0.3636,0.9,Distributed-Individual
0.73,0.0,0.4091,0.5,Distributed-Individual
0.6,0.0,0.4091,0.57,Hierarchical-Collective
0.73,0.0,0.4091,0.5,Distributed-Individual
0.6,0.0,0.4091,0.57,Hierarchical-Collective
0.73,0.0,0.4091,0.5,Distributed-Individual
0.6,0.0,0.4091,0.57,Hierarchical-Collective
0.73,0.5,0.4091,0.5,Distributed-Individual
0.6,0.5,0.4091,0.57,Hierarchical-Collective
0.73,0.5,0.4091,0.5,Distributed-Individual
0.6,0.5,0.4091,0.57,Hierarchical-Collective
0.73,0.5,0.4091,0.5,Distributed-Individual
0.6,0.5,0.4091,0.57,Hierarchical-Collective
0.73,0.5,0.4091,0.5,Distributed-Individual
0.6,0.5,0.4091,0.57,Hierarchical-Collective
0.73,0.5,0.4091,0.5,Distributed-Individual
0.6,0.5,0.4091,0.57,Hierarchical-Collective
0.66,0.5,0.3636,0.52,Distributed-Individual
0.56,0.0,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,1.0,0.3636,0.52,Distributed-Individual
0.56,0.5,0.3636,0.96,Distributed-Individual
0.66,0.5,0.3636,0.52,Distributed-Individual
0.56,0.0,0.3636,0.96,Distributed-Individual
0.71,0.5,0.7045,0.52,Hierarchical-Collective
0.79,1.0,0.4545,0.87,Distributed-Collective
0.97,0.5,0.4545,0.82,Distributed-Collective
0.79,1.0,0.4545,0.87,Distributed-Collective
0.97,0.5,0.4545,0.82,Distributed-Collective
0.79,0.5,0.4545,0.87,Distributed-Collective
0.97,0.0,0.4545,0.82,Distributed-Collective
0.79,1.0,0.4545,0.87,Distributed-Collective
0.97,0.5,0.4545,0.82,Distributed-Collective
0.52,0.0,0.3182,0.88,Hierarchical-Individual
0.52,0.5,0.3182,0.88,Hierarchical-Individual
0.51,0.5,0.5682,0.62,Distributed-Collective
0.55,0.5,0.5682,1.0,Distributed-Collective
0.51,1.0,0.5682,0.62,Distributed-Collective
0.55,1.0,0.5682,1.0,Distributed-Collective
0.51,1.0,0.5682,0.62,Distributed-Collective
0.55,1.0,0.5682,1.0,Distributed-Collective
0.51,1.0,0.5682,0.62,Distributed-Collective
0.55,1.0,0.5682,1.0,Distributed-Collective
0.51,1.0,0.5682,0.62,Distributed-Collective
0.55,1.0,0.5682,1.0,Distributed-Collective
0.51,1.0,0.5682,0.62,Distributed-Collective
0.55,1.0,0.5682,1.0,Distributed-Collective
0.54,1.0,0.4773,0.54,Distributed-Collective
0.78,1.0,0.4773,0.96,Distributed-Individual
0.54,1.0,0.4773,0.54,Distributed-Collective
0.78,1.0,0.4773,0.96,Distributed-Individual
0.97,0.5,0.1818,0.99,Hierarchical-Collective
0.54,0.5,0.1818,0.89,Distributed-Individual
0.91,0.5,0.1818,0.59,Distributed-Collective
0.97,1.0,0.1818,0.99,Hierarchical-Collective
0.54,1.0,0.1818,0.89,Distributed-Individual
0.91,1.0,0.1818,0.59,Distributed-Collective
1.0,1.0,0.2727,0.58,Distributed-Individual
0.42,1.0,0.2727,0.51,Hierarchical-Collective
0.73,0.5,0.2727,0.61,Distributed-Individual
1.0,1.0,0.2727,0.58,Distributed-Individual
0.42,1.0,0.2727,0.51,Hierarchical-Collective
0.73,0.5,0.2727,0.61,Distributed-Individual
1.0,0.5,0.2727,0.58,Distributed-Individual
0.42,0.5,0.2727,0.51,Hierarchical-Collective
0.73,0.0,0.2727,0.61,Distributed-Individual
1.0,1.0,0.2727,0.58,Distributed-Individual
0.42,1.0,0.2727,0.51,Hierarchical-Collective
0.73,0.5,0.2727,0.61,Distributed-Individual
1.0,0.5,0.2727,0.58,Distributed-Individual
0.42,0.5,0.2727,0.51,Hierarchical-Collective
0.73,0.0,0.2727,0.61,Distributed-Individual
0.95,0.5,0.4773,0.93,Hierarchical-Individual
0.95,0.5,0.4773,0.93,Hierarchical-Individual
0.95,0.0,0.4773,0.93,Hierarchical-Individual
0.95,0.0,0.4773,0.93,Hierarchical-Individual
0.95,0.5,0.4773,0.93,Hierarchical-Individual
0.95,0.0,0.4773,0.93,Hierarchical-Individual
0.95,0.5,0.4773,0.93,Hierarchical-Individual
0.95,0.0,0.4773,0.93,Hierarchical-Individual
0.61,0.5,0.5455,0.78,Hierarchical-Collective
0.61,0.5,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.61,1.0,0.5455,0.78,Hierarchical-Collective
0.56,0.5,0.4773,0.79,Hierarchical-Individual
0.56,0.0,0.4773,0.79,Hierarchical-Individual
0.56,0.0,0.4773,0.79,Hierarchical-Individual
0.56,0.5,0.4773,0.79,Hierarchical-Individual
0.56,0.5,0.4773,0.79,Hierarchical-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.93,0.5,0.4091,0.83,Hierarchical-Individual
0.51,0.5,0.4091,0.55,Distributed-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.93,1.0,0.4091,0.83,Hierarchical-Individual
0.51,1.0,0.4091,0.55,Distributed-Individual
0.81,0.5,0.25,0.77,Hierarchical-Individual
0.52,1.0,0.25,0.94,Hierarchical-Collective
0.87,0.5,0.25,0.58,Hierarchical-Individual
0.81,0.5,0.25,0.77,Hierarchical-Individual
0.52,1.0,0.25,0.94,Hierarchical-Collective
0.87,0.5,0.25,0.58,Hierarchical-Individual
0.84,1.0,0.3636,0.94,Hierarchical-Collective
0.83,0.5,0.3636,0.89,Hierarchical-Individual
0.86,1.0,0.3636,0.53,Hierarchical-Collective
0.84,1.0,0.3636,0.94,Hierarchical-Collective
0.83,0.5,0.3636,0.89,Hierarchical-Individual
0.86,1.0,0.3636,0.53,Hierarchical-Collective
0.84,1.0,0.3636,0.94,Hierarchical-Collective
0.83,0.5,0.3636,0.89,Hierarchical-Individual
0.86,1.0,0.3636,0.53,Hierarchical-Collective
0.59,1.0,0.3864,0.84,Distributed-Individual
0.85,0.5,0.3864,0.9,Distributed-Collective
0.85,1.0,0.3864,0.58,Distributed-Individual
0.59,0.5,0.3864,0.84,Distributed-Individual
0.85,0.0,0.3864,0.9,Distributed-Collective
0.85,0.5,0.3864,0.58,Distributed-Individual
0.59,0.5,0.3864,0.84,Distributed-Individual
0.85,0.0,0.3864,0.9,Distributed-Collective
0.85,0.5,0.3864,0.58,Distributed-Individual
0.59,0.5,0.3864,0.84,Distributed-Individual
0.85,0.0,0.3864,0.9,Distributed-Collective
0.85,0.5,0.3864,0.58,Distributed-Individual
0.59,1.0,0.3864,0.84,Distributed-Individual
0.85,0.5,0.3864,0.9,Distributed-Collective
0.85,1.0,0.3864,0.58,Distributed-Individual
0.99,0.5,0.5909,0.69,Hierarchical-Collective
0.99,0.5,0.5909,0.69,Hierarchical-Collective
0.99,0.5,0.5909,0.69,Hierarchical-Collective
0.47,0.5,0.5,0.6,Hierarchical-Individual
0.55,1.0,0.5,0.73,Distributed-Collective
0.87,0.5,0.5,1.0,Distributed-Individual
0.96,1.0,0.5,0.86,Distributed-Collective
0.47,0.0,0.5,0.6,Hierarchical-Individual
0.55,0.5,0.5,0.73,Distributed-Collective
0.87,0.0,0.5,1.0,Distributed-Individual
0.96,0.5,0.5,0.86,Distributed-Collective
0.47,0.5,0.5,0.6,Hierarchical-Individual
0.55,1.0,0.5,0.73,Distributed-Collective
0.87,0.5,0.5,1.0,Distributed-Individual
0.96,1.0,0.5,0.86,Distributed-Collective
0.47,0.5,0.5,0.6,Hierarchical-Individual
0.55,1.0,0.5,0.73,Distributed-Collective
0.87,0.5,0.5,1.0,Distributed-Individual
0.96,1.0,0.5,0.86,Distributed-Collective
0.47,0.0,0.5,0.6,Hierarchical-Individual
0.55,0.5,0.5,0.73,Distributed-Collective
0.87,0.0,0.5,1.0,Distributed-Individual
0.96,0.5,0.5,0.86,Distributed-Collective
0.47,0.5,0.5,0.6,Hierarchical-Individual
0.55,1.0,0.5,0.73,Distributed-Collective
0.87,0.5,0.5,1.0,Distributed-Individual
0.96,1.0,0.5,0.86,Distributed-Collective
0.47,0.0,0.5,0.6,Hierarchical-Individual
0.55,0.5,0.5,0.73,Distributed-Collective
0.87,0.0,0.5,1.0,Distributed-Individual
0.96,0.5,0.5,0.86,Distributed-Collective
0.47,0.5,0.5,0.6,Hierarchical-Individual
0.55,1.0,0.5,0.73,Distributed-Collective
0.87,0.5,0.5,1.0,Distributed-Individual
0.96,1.0,0.5,0.86,Distributed-Collective
0.76,0.5,0.2045,0.63,Distributed-Collective
0.65,0.5,0.2045,0.61,Hierarchical-Collective
0.66,0.0,0.2045,0.51,Distributed-Individual
0.76,0.5,0.2045,0.63,Distributed-Collective
0.65,0.5,0.2045,0.61,Hierarchical-Collective
0.66,0.0,0.2045,0.51,Distributed-Individual
0.76,1.0,0.2045,0.63,Distributed-Collective
0.65,1.0,0.2045,0.61,Hierarchical-Collective
0.66,0.5,0.2045,0.51,Distributed-Individual
0.76,0.5,0.2045,0.63,Distributed-Collective
0.65,0.5,0.2045,0.61,Hierarchical-Collective
0.66,0.0,0.2045,0.51,Distributed-Individual
0.52,0.5,0.5,0.71,Hierarchical-Individual
0.52,0.0,0.5,0.71,Hierarchical-Individual
0.52,0.0,0.5,0.71,Hierarchical-Individual
0.52,0.5,0.5,0.71,Hierarchical-Individual
0.52,0.5,0.5,0.71,Hierarchical-Individual
0.52,0.5,0.5,0.71,Hierarchical-Individual
0.52,0.5,0.5,0.71,Hierarchical-Individual
0.92,0.0,0.4091,0.93,Hierarchical-Individual
0.98,0.0,0.4091,0.55,Distributed-Collective
0.92,0.0,0.4091,0.93,Hierarchical-Individual
0.98,0.0,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.92,0.0,0.4091,0.93,Hierarchical-Individual
0.98,0.0,0.4091,0.55,Distributed-Collective
0.92,0.5,0.4091,0.93,Hierarchical-Individual
0.98,0.5,0.4091,0.55,Distributed-Collective
0.94,1.0,0.3636,0.92,Distributed-Individual
0.98,1.0,0.3636,1.0,Hierarchical-Collective
0.92,0.5,0.3636,0.6,Distributed-Individual
0.94,0.5,0.3636,0.92,Distributed-Individual
0.98,0.5,0.3636,1.0,Hierarchical-Collective
0.92,0.0,0.3636,0.6,Distributed-Individual
0.94,1.0,0.3636,0.92,Distributed-Individual
0.98,1.0,0.3636,1.0,Hierarchical-Collective
0.92,0.5,0.3636,0.6,Distributed-Individual
0.94,1.0,0.3636,0.92,Distributed-Individual
0.98,1.0,0.3636,1.0,Hierarchical-Collective
0.92,0.5,0.3636,0.6,Distributed-Individual
0.94,0.5,0.3636,0.92,Distributed-Individual
0.98,0.5,0.3636,1.0,Hierarchical-Collective
0.92,0.0,0.3636,0.6,Distributed-Individual
0.94,0.5,0.3636,0.92,Distributed-Individual
0.98,0.5,0.3636,1.0,Hierarchical-Collective
0.92,0.0,0.3636,0.6,Distributed-Individual
0.66,0.5,0.5455,0.99,Hierarchical-Individual
0.51,0.0,0.5455,0.82,Distributed-Individual
0.62,0.0,0.5455,0.76,Distributed-Collective
0.62,0.5,0.5455,0.71,Hierarchical-Collective
0.66,0.5,0.5455,0.99,Hierarchical-Individual
0.51,0.0,0.5455,0.82,Distributed-Individual
0.62,0.0,0.5455,0.76,Distributed-Collective
0.62,0.5,0.5455,0.71,Hierarchical-Collective
0.66,0.5,0.5455,0.99,Hierarchical-Individual
0.51,0.0,0.5455,0.82,Distributed-Individual
0.62,0.0,0.5455,0.76,Distributed-Collective
0.62,0.5,0.5455,0.71,Hierarchical-Collective
0.82,1.0,0.5909,0.91,Distributed-Individual
0.43,0.5,0.5909,0.75,Hierarchical-Individual
0.63,1.0,0.5909,1.0,Hierarchical-Individual
0.82,0.5,0.5909,0.91,Distributed-Individual
0.43,0.0,0.5909,0.75,Hierarchical-Individual
0.63,0.5,0.5909,1.0,Hierarchical-Individual
0.82,1.0,0.5909,0.91,Distributed-Individual
0.43,0.5,0.5909,0.75,Hierarchical-Individual
0.63,1.0,0.5909,1.0,Hierarchical-Individual
0.82,0.5,0.5909,0.91,Distributed-Individual
0.43,0.0,0.5909,0.75,Hierarchical-Individual
0.63,0.5,0.5909,1.0,Hierarchical-Individual
0.82,1.0,0.5909,0.91,Distributed-Individual
0.43,0.5,0.5909,0.75,Hierarchical-Individual
0.63,1.0,0.5909,1.0,Hierarchical-Individual
0.62,1.0,0.5909,0.98,Distributed-Collective
0.5,0.5,0.5909,0.55,Distributed-Individual
0.54,1.0,0.5909,0.54,Hierarchical-Collective
0.62,0.5,0.5909,0.98,Distributed-Collective
0.5,0.0,0.5909,0.55,Distributed-Individual
0.54,0.5,0.5909,0.54,Hierarchical-Collective
0.62,0.5,0.5909,0.98,Distributed-Collective
0.5,0.0,0.5909,0.55,Distributed-Individual
0.54,0.5,0.5909,0.54,Hierarchical-Collective
0.62,1.0,0.5909,0.98,Distributed-Collective
0.5,0.5,0.5909,0.55,Distributed-Individual
0.54,1.0,0.5909,0.54,Hierarchical-Collective
0.93,0.0,0.3409,0.5,Distributed-Individual
