hi_score,hc_score,di_score,dc_score,target_quadrant
11,12,9,8,Hierarchical-Collective
12,22,5,17,Hierarchical-Individual
11,12,17,17,Hierarchical-Collective
12,22,11,25,Hierarchical-Individual
19,12,17,5,Hierarchical-Collective
20,22,11,12,Hierarchical-Individual
5,11,20,21,Distributed-Collective
6,13,18,21,Distributed-Collective
8,12,19,21,Hierarchical-Collective
8,14,24,21,Distributed-Collective
15,20,5,12,Distributed-Collective
17,21,6,12,Hierarchical-Collective
16,21,12,12,Distributed-Collective
7,20,5,21,Distributed-Collective
9,21,6,21,Hierarchical-Collective
7,21,12,21,Distributed-Collective
15,20,5,17,Distributed-Collective
17,21,6,17,Hierarchical-Collective
16,21,12,17,Distributed-Collective
7,20,8,21,Distributed-Collective
9,21,10,21,Hierarchical-Collective
7,21,16,21,Distributed-Collective
7,20,5,25,Distributed-Collective
9,21,5,25,Hierarchical-Collective
7,21,8,25,Distributed-Collective
8,20,5,21,Distributed-Collective
16,20,5,8,Distributed-Collective
8,20,9,25,Distributed-Collective
8,20,5,17,Distributed-Collective
8,20,9,21,Distributed-Collective
8,11,13,8,Hierarchical-Collective
10,22,7,17,Hierarchical-Collective
9,20,10,17,Distributed-Individual
16,11,18,5,Hierarchical-Collective
19,22,11,12,Hierarchical-Collective
17,20,14,12,Distributed-Individual
16,11,9,8,Hierarchical-Collective
19,22,5,17,Hierarchical-Collective
17,20,5,17,Distributed-Individual
16,11,13,5,Hierarchical-Collective
19,22,7,12,Hierarchical-Collective
17,20,10,12,Distributed-Individual
8,11,13,12,Hierarchical-Collective
10,22,7,21,Hierarchical-Collective
9,20,10,21,Distributed-Individual
16,11,13,5,Hierarchical-Collective
19,22,7,12,Hierarchical-Collective
17,20,10,12,Distributed-Individual
8,20,15,21,Hierarchical-Individual
6,19,17,21,Hierarchical-Collective
8,20,15,21,Hierarchical-Individual
6,19,17,21,Hierarchical-Collective
21,20,5,17,Hierarchical-Individual
13,20,9,21,Hierarchical-Individual
17,24,14,12,Distributed-Collective
17,24,10,12,Distributed-Collective
17,24,14,8,Distributed-Collective
8,24,14,17,Distributed-Collective
17,24,5,12,Distributed-Collective
8,24,10,17,Distributed-Collective
8,24,10,21,Distributed-Collective
17,24,10,12,Distributed-Collective
17,24,5,17,Distributed-Collective
8,24,14,21,Distributed-Collective
17,24,14,8,Distributed-Collective
17,24,10,12,Distributed-Collective
20,22,10,8,Distributed-Collective
18,20,17,5,Distributed-Individual
18,13,22,5,Hierarchical-Individual
12,22,5,17,Distributed-Collective
9,20,12,8,Distributed-Individual
9,13,18,8,Hierarchical-Individual
12,22,10,21,Distributed-Collective
9,20,17,12,Distributed-Individual
9,13,22,12,Hierarchical-Individual
12,22,5,25,Distributed-Collective
9,20,12,17,Distributed-Individual
9,13,18,17,Hierarchical-Individual
12,22,5,25,Distributed-Collective
9,20,8,17,Distributed-Individual
9,13,14,17,Hierarchical-Individual
8,20,6,17,Hierarchical-Collective
8,12,19,25,Hierarchical-Individual
10,12,18,25,Hierarchical-Individual
10,22,5,25,Hierarchical-Collective
9,23,8,25,Distributed-Collective
8,20,10,12,Hierarchical-Collective
8,12,23,21,Hierarchical-Individual
10,12,22,21,Hierarchical-Individual
10,22,10,21,Hierarchical-Collective
9,23,12,21,Distributed-Collective
9,13,22,12,Hierarchical-Collective
8,12,23,21,Distributed-Individual
9,13,22,12,Hierarchical-Collective
8,12,23,21,Distributed-Individual
9,13,13,12,Hierarchical-Collective
8,12,15,21,Distributed-Individual
18,13,18,5,Hierarchical-Collective
16,12,19,12,Distributed-Individual
18,13,18,5,Hierarchical-Collective
16,12,19,12,Distributed-Individual
8,19,5,17,Hierarchical-Collective
16,19,5,8,Hierarchical-Collective
16,19,8,5,Hierarchical-Collective
16,21,7,5,Hierarchical-Individual
17,14,18,5,Distributed-Collective
19,24,10,5,Hierarchical-Individual
18,21,5,12,Distributed-Individual
15,23,9,12,Distributed-Individual
16,15,20,5,Hierarchical-Collective
8,21,7,12,Hierarchical-Individual
9,14,18,12,Distributed-Collective
11,24,10,12,Hierarchical-Individual
10,21,5,21,Distributed-Individual
6,23,9,21,Distributed-Individual
8,15,20,12,Hierarchical-Collective
10,15,21,21,Hierarchical-Collective
10,15,17,25,Hierarchical-Collective
10,15,17,25,Hierarchical-Collective
10,15,17,25,Hierarchical-Collective
10,15,13,21,Hierarchical-Collective
16,23,5,5,Distributed-Individual
16,23,5,8,Distributed-Individual
7,23,8,12,Distributed-Individual
16,23,5,5,Distributed-Individual
7,23,8,17,Distributed-Individual
18,10,18,8,Distributed-Individual
17,10,21,8,Hierarchical-Collective
18,10,14,12,Distributed-Individual
17,10,17,12,Hierarchical-Collective
18,10,18,12,Distributed-Individual
17,10,21,12,Hierarchical-Collective
9,10,18,21,Distributed-Individual
8,10,21,21,Hierarchical-Collective
9,10,14,17,Distributed-Individual
8,10,17,17,Hierarchical-Collective
9,10,18,21,Distributed-Individual
8,10,21,21,Hierarchical-Collective
9,10,14,25,Distributed-Individual
8,10,17,25,Hierarchical-Collective
9,10,14,21,Distributed-Individual
8,10,17,21,Hierarchical-Collective
17,20,9,5,Distributed-Individual
16,15,12,12,Distributed-Individual
9,20,13,8,Distributed-Individual
8,15,17,17,Distributed-Individual
9,20,9,12,Distributed-Individual
8,15,12,21,Distributed-Individual
9,20,9,12,Distributed-Individual
8,15,12,21,Distributed-Individual
9,20,9,17,Distributed-Individual
8,15,12,25,Distributed-Individual
9,20,9,12,Distributed-Individual
8,15,12,21,Distributed-Individual
9,20,9,8,Distributed-Individual
8,15,12,17,Distributed-Individual
17,20,9,5,Distributed-Individual
16,15,12,8,Distributed-Individual
12,10,17,21,Hierarchical-Collective
10,21,5,21,Distributed-Collective
12,13,16,12,Distributed-Collective
10,21,10,21,Distributed-Collective
12,13,20,12,Distributed-Collective
19,21,10,8,Distributed-Collective
20,13,20,5,Distributed-Collective
10,21,5,25,Distributed-Collective
12,13,16,17,Distributed-Collective
15,12,15,12,Hierarchical-Individual
7,12,11,17,Hierarchical-Individual
17,19,5,5,Distributed-Collective
18,22,9,12,Distributed-Collective
9,19,8,17,Distributed-Collective
9,22,13,25,Distributed-Collective
9,19,5,12,Distributed-Collective
9,22,5,21,Distributed-Collective
9,19,5,12,Distributed-Collective
9,22,9,21,Distributed-Collective
9,19,5,12,Distributed-Collective
9,22,5,21,Distributed-Collective
9,19,8,8,Distributed-Collective
9,22,13,17,Distributed-Collective
8,18,5,17,Distributed-Collective
10,22,5,8,Distributed-Individual
8,18,9,17,Distributed-Collective
10,22,9,8,Distributed-Individual
18,25,8,5,Hierarchical-Collective
14,24,6,8,Distributed-Individual
17,22,7,5,Distributed-Collective
10,25,12,12,Hierarchical-Collective
6,24,10,21,Distributed-Individual
9,22,11,12,Distributed-Collective
11,19,10,12,Distributed-Individual
6,19,12,21,Hierarchical-Collective
8,11,15,21,Distributed-Individual
11,19,6,17,Distributed-Individual
6,19,8,25,Hierarchical-Collective
8,11,10,25,Distributed-Individual
19,19,10,8,Distributed-Individual
14,19,12,17,Hierarchical-Collective
17,11,15,17,Distributed-Individual
11,19,6,17,Distributed-Individual
6,19,8,25,Hierarchical-Collective
8,11,10,25,Distributed-Individual
19,19,10,5,Distributed-Individual
14,19,12,8,Hierarchical-Collective
17,11,15,8,Distributed-Individual
12,13,12,17,Hierarchical-Individual
12,13,8,25,Hierarchical-Individual
20,13,12,17,Hierarchical-Individual
20,13,17,8,Hierarchical-Individual
12,13,12,21,Hierarchical-Individual
20,13,12,12,Hierarchical-Individual
12,13,17,25,Hierarchical-Individual
20,13,17,12,Hierarchical-Individual
18,20,10,8,Hierarchical-Collective
18,20,10,12,Hierarchical-Collective
10,20,10,25,Hierarchical-Collective
10,20,10,17,Hierarchical-Collective
10,20,14,17,Hierarchical-Collective
10,20,10,21,Hierarchical-Collective
10,20,10,21,Hierarchical-Collective
10,20,5,17,Hierarchical-Collective
9,14,17,17,Hierarchical-Individual
17,14,13,8,Hierarchical-Individual
17,14,17,12,Hierarchical-Individual
9,14,21,17,Hierarchical-Individual
9,14,13,17,Hierarchical-Individual
11,23,8,21,Hierarchical-Individual
8,21,15,21,Distributed-Individual
11,23,5,25,Hierarchical-Individual
8,21,11,25,Distributed-Individual
11,23,8,17,Hierarchical-Individual
8,21,15,17,Distributed-Individual
11,23,5,21,Hierarchical-Individual
8,21,11,21,Distributed-Individual
19,23,5,8,Hierarchical-Individual
16,21,11,8,Distributed-Individual
11,23,5,17,Hierarchical-Individual
8,21,11,17,Distributed-Individual
11,23,5,21,Hierarchical-Individual
8,21,11,21,Distributed-Individual
9,15,17,17,Hierarchical-Individual
6,24,7,17,Hierarchical-Collective
9,13,18,8,Hierarchical-Individual
9,15,21,25,Hierarchical-Individual
6,24,11,25,Hierarchical-Collective
9,13,22,17,Hierarchical-Individual
10,22,7,21,Hierarchical-Collective
10,13,21,21,Hierarchical-Individual
10,19,12,21,Hierarchical-Collective
10,22,11,25,Hierarchical-Collective
10,13,25,25,Hierarchical-Individual
10,19,17,25,Hierarchical-Collective
10,22,11,25,Hierarchical-Collective
10,13,25,25,Hierarchical-Individual
10,19,17,25,Hierarchical-Collective
8,22,10,12,Distributed-Individual
10,14,16,21,Distributed-Collective
10,20,12,12,Distributed-Individual
16,22,14,5,Distributed-Individual
19,14,20,12,Distributed-Collective
19,20,17,5,Distributed-Individual
16,22,14,5,Distributed-Individual
19,14,20,12,Distributed-Collective
19,20,17,5,Distributed-Individual
16,22,10,5,Distributed-Individual
19,14,16,12,Distributed-Collective
19,20,12,5,Distributed-Individual
8,22,10,8,Distributed-Individual
10,14,16,17,Distributed-Collective
10,20,12,8,Distributed-Individual
13,11,17,21,Hierarchical-Collective
13,11,21,25,Hierarchical-Collective
13,11,25,21,Hierarchical-Collective
8,12,16,17,Hierarchical-Individual
9,22,7,17,Distributed-Collective
11,16,16,17,Distributed-Individual
12,23,7,17,Distributed-Collective
16,12,12,12,Hierarchical-Individual
17,22,5,12,Distributed-Collective
20,16,12,12,Distributed-Individual
20,23,5,12,Distributed-Collective
8,12,16,25,Hierarchical-Individual
9,22,7,25,Distributed-Collective
11,16,16,25,Distributed-Individual
12,23,7,25,Distributed-Collective
8,12,16,21,Hierarchical-Individual
9,22,7,21,Distributed-Collective
11,16,16,21,Distributed-Individual
12,23,7,21,Distributed-Collective
16,12,16,8,Hierarchical-Individual
17,22,7,8,Distributed-Collective
20,16,16,8,Distributed-Individual
20,23,7,8,Distributed-Collective
8,12,16,21,Hierarchical-Individual
9,22,7,21,Distributed-Collective
11,16,16,21,Distributed-Individual
12,23,7,21,Distributed-Collective
16,12,16,17,Hierarchical-Individual
17,22,7,17,Distributed-Collective
20,16,16,17,Distributed-Individual
20,23,7,17,Distributed-Collective
8,12,16,21,Hierarchical-Individual
9,22,7,21,Distributed-Collective
11,16,16,21,Distributed-Individual
12,23,7,21,Distributed-Collective
16,20,6,12,Distributed-Collective
15,20,5,12,Hierarchical-Collective
16,11,19,12,Distributed-Individual
16,20,6,8,Distributed-Collective
15,20,5,8,Hierarchical-Collective
16,11,19,8,Distributed-Individual
8,20,10,21,Distributed-Collective
7,20,10,21,Hierarchical-Collective
7,11,23,21,Distributed-Individual
16,20,5,12,Distributed-Collective
15,20,5,12,Hierarchical-Collective
16,11,15,12,Distributed-Individual
8,12,20,17,Hierarchical-Individual
17,12,20,17,Hierarchical-Individual
17,12,20,8,Hierarchical-Individual
8,12,20,21,Hierarchical-Individual
8,12,24,21,Hierarchical-Individual
8,12,16,21,Hierarchical-Individual
8,12,20,17,Hierarchical-Individual
19,13,21,5,Hierarchical-Individual
20,10,21,5,Distributed-Collective
19,13,25,5,Hierarchical-Individual
20,10,25,5,Distributed-Collective
11,13,25,8,Hierarchical-Individual
12,10,25,8,Distributed-Collective
11,13,25,17,Hierarchical-Individual
12,10,25,17,Distributed-Collective
11,13,21,17,Hierarchical-Individual
12,10,21,17,Distributed-Collective
11,13,25,17,Hierarchical-Individual
12,10,25,17,Distributed-Collective
11,13,17,12,Hierarchical-Individual
12,10,17,12,Distributed-Collective
19,13,25,5,Hierarchical-Individual
20,10,25,5,Distributed-Collective
11,13,25,17,Hierarchical-Individual
12,10,25,17,Distributed-Collective
11,23,8,21,Distributed-Individual
11,24,10,21,Hierarchical-Collective
11,12,19,21,Distributed-Individual
19,23,12,12,Distributed-Individual
20,24,15,12,Hierarchical-Collective
19,12,23,12,Distributed-Individual
11,23,8,17,Distributed-Individual
11,24,10,17,Hierarchical-Collective
11,12,19,17,Distributed-Individual
11,23,8,25,Distributed-Individual
11,24,10,25,Hierarchical-Collective
11,12,19,25,Distributed-Individual
19,23,8,17,Distributed-Individual
20,24,10,17,Hierarchical-Collective
19,12,19,17,Distributed-Individual
19,23,5,8,Distributed-Individual
20,24,6,8,Hierarchical-Collective
19,12,15,8,Distributed-Individual
18,23,5,5,Hierarchical-Individual
17,13,14,12,Distributed-Individual
18,13,15,12,Distributed-Collective
18,21,5,5,Hierarchical-Collective
18,23,14,8,Hierarchical-Individual
17,13,22,17,Distributed-Individual
18,13,23,17,Distributed-Collective
18,21,12,8,Hierarchical-Collective
18,23,10,8,Hierarchical-Individual
17,13,18,17,Distributed-Individual
18,13,19,17,Distributed-Collective
18,21,8,8,Hierarchical-Collective
12,22,8,8,Distributed-Individual
9,12,23,17,Hierarchical-Individual
10,22,8,17,Hierarchical-Individual
20,22,8,5,Distributed-Individual
17,12,23,12,Hierarchical-Individual
19,22,8,12,Hierarchical-Individual
12,22,5,12,Distributed-Individual
9,12,19,21,Hierarchical-Individual
10,22,5,21,Hierarchical-Individual
20,22,5,5,Distributed-Individual
17,12,19,12,Hierarchical-Individual
19,22,5,12,Hierarchical-Individual
12,22,5,12,Distributed-Individual
9,12,15,21,Hierarchical-Individual
10,22,5,21,Hierarchical-Individual
10,24,10,21,Distributed-Collective
9,12,20,21,Distributed-Individual
9,20,10,21,Hierarchical-Collective
18,24,5,8,Distributed-Collective
17,12,12,8,Distributed-Individual
18,20,5,8,Hierarchical-Collective
18,24,10,12,Distributed-Collective
17,12,20,12,Distributed-Individual
18,20,10,12,Hierarchical-Collective
10,24,6,21,Distributed-Collective
9,12,16,21,Distributed-Individual
9,20,6,21,Hierarchical-Collective
19,11,19,8,Distributed-Individual
17,21,12,8,Hierarchical-Collective
11,11,10,21,Distributed-Individual
8,21,5,21,Hierarchical-Collective
19,11,15,12,Distributed-Individual
17,21,8,12,Hierarchical-Collective
11,11,19,21,Distributed-Individual
8,21,12,21,Hierarchical-Collective
19,11,19,8,Distributed-Individual
17,21,12,8,Hierarchical-Collective
11,11,10,17,Distributed-Individual
8,21,5,17,Hierarchical-Collective
16,20,5,12,Hierarchical-Individual
8,20,13,21,Hierarchical-Individual
8,20,9,17,Hierarchical-Individual
16,20,9,8,Hierarchical-Individual
8,20,9,25,Hierarchical-Individual
16,20,5,12,Hierarchical-Individual
16,20,9,17,Hierarchical-Individual
11,24,5,12,Hierarchical-Individual
12,12,16,12,Distributed-Collective
12,23,7,21,Distributed-Collective
11,24,6,8,Hierarchical-Individual
12,12,20,8,Distributed-Collective
12,23,11,17,Distributed-Collective
11,24,6,8,Hierarchical-Individual
12,12,20,8,Distributed-Collective
12,23,11,17,Distributed-Collective
19,24,6,5,Hierarchical-Individual
21,12,20,5,Distributed-Collective
21,23,11,8,Distributed-Collective
15,13,14,12,Hierarchical-Individual
19,14,20,12,Hierarchical-Collective
7,13,14,21,Hierarchical-Individual
11,14,20,21,Hierarchical-Collective
7,13,14,25,Hierarchical-Individual
11,14,20,25,Hierarchical-Collective
7,13,18,21,Hierarchical-Individual
11,14,24,21,Hierarchical-Collective
7,13,18,17,Hierarchical-Individual
11,14,24,17,Hierarchical-Collective
7,13,10,21,Hierarchical-Individual
11,14,16,21,Hierarchical-Collective
7,13,14,17,Hierarchical-Individual
11,14,20,17,Hierarchical-Collective
7,13,14,21,Hierarchical-Individual
11,14,20,21,Hierarchical-Collective
7,19,11,17,Hierarchical-Individual
7,19,15,21,Hierarchical-Individual
7,19,7,21,Hierarchical-Individual
7,19,15,17,Hierarchical-Individual
16,19,11,8,Hierarchical-Individual
16,19,11,12,Hierarchical-Individual
7,19,11,17,Hierarchical-Individual
16,19,7,12,Hierarchical-Individual
7,19,11,21,Hierarchical-Individual
10,23,14,25,Distributed-Individual
6,22,11,17,Distributed-Individual
10,23,10,21,Distributed-Individual
6,22,7,12,Distributed-Individual
7,23,9,17,Distributed-Collective
6,12,23,17,Distributed-Collective
7,20,8,17,Distributed-Collective
8,23,15,25,Distributed-Individual
7,23,9,17,Distributed-Collective
6,12,23,17,Distributed-Collective
7,20,8,17,Distributed-Collective
8,23,15,25,Distributed-Individual
7,23,5,12,Distributed-Collective
6,12,19,12,Distributed-Collective
7,20,5,12,Distributed-Collective
8,23,11,21,Distributed-Individual
7,23,5,8,Distributed-Collective
6,12,15,8,Distributed-Collective
7,20,5,8,Distributed-Collective
8,23,7,17,Distributed-Individual
13,12,20,21,Distributed-Collective
13,19,14,21,Distributed-Collective
9,13,19,21,Hierarchical-Collective
13,12,15,21,Distributed-Collective
13,19,10,21,Distributed-Collective
9,13,15,21,Hierarchical-Collective
22,12,15,8,Distributed-Collective
21,19,10,8,Distributed-Collective
17,13,15,8,Hierarchical-Collective
8,23,8,12,Distributed-Collective
8,23,5,12,Distributed-Collective
8,23,8,17,Distributed-Collective
17,23,12,5,Distributed-Collective
17,23,12,5,Distributed-Collective
17,23,8,5,Distributed-Collective
8,23,8,8,Distributed-Collective
17,23,8,5,Distributed-Collective
12,20,16,25,Hierarchical-Collective
20,20,12,8,Hierarchical-Collective
20,20,12,12,Hierarchical-Collective
12,20,12,21,Hierarchical-Collective
12,20,8,21,Hierarchical-Collective
20,20,16,12,Hierarchical-Collective
12,20,8,21,Hierarchical-Collective
19,12,25,5,Distributed-Individual
18,21,15,8,Hierarchical-Individual
10,12,17,12,Distributed-Individual
10,21,7,21,Hierarchical-Individual
10,12,17,12,Distributed-Individual
10,21,7,21,Hierarchical-Individual
19,12,21,5,Distributed-Individual
18,21,11,8,Hierarchical-Individual
10,12,21,12,Distributed-Individual
10,21,11,21,Hierarchical-Individual
10,12,21,8,Distributed-Individual
10,21,11,17,Hierarchical-Individual
19,12,17,5,Distributed-Individual
18,21,7,12,Hierarchical-Individual
19,12,21,8,Distributed-Individual
18,21,11,17,Hierarchical-Individual
17,20,12,5,Distributed-Individual
9,20,8,12,Distributed-Individual
9,20,12,8,Distributed-Individual
9,20,12,8,Distributed-Individual
9,20,12,12,Distributed-Individual
9,20,17,12,Distributed-Individual
9,20,17,8,Distributed-Individual
10,24,5,12,Distributed-Individual
13,22,5,12,Distributed-Collective
12,20,8,12,Hierarchical-Collective
10,24,10,8,Distributed-Individual
13,22,9,8,Distributed-Collective
12,20,17,8,Hierarchical-Collective
19,24,10,8,Distributed-Individual
21,22,9,8,Distributed-Collective
21,20,17,8,Hierarchical-Collective
19,24,6,5,Distributed-Individual
21,22,5,5,Distributed-Collective
21,20,12,5,Hierarchical-Collective
11,12,18,21,Hierarchical-Collective
11,12,18,21,Hierarchical-Collective
19,12,18,17,Hierarchical-Collective
11,12,18,21,Hierarchical-Collective
19,12,18,12,Hierarchical-Collective
19,24,12,12,Hierarchical-Collective
21,22,8,12,Hierarchical-Collective
10,24,12,17,Hierarchical-Collective
13,22,8,17,Hierarchical-Collective
19,20,12,12,Hierarchical-Individual
20,20,7,5,Hierarchical-Individual
11,20,12,17,Hierarchical-Individual
11,20,7,8,Hierarchical-Individual
19,20,12,12,Hierarchical-Individual
20,20,7,5,Hierarchical-Individual
19,20,12,8,Hierarchical-Individual
20,20,7,5,Hierarchical-Individual
19,20,8,12,Hierarchical-Individual
20,20,5,5,Hierarchical-Individual
8,21,12,12,Distributed-Collective
8,23,5,21,Hierarchical-Individual
8,21,8,12,Distributed-Collective
8,23,5,21,Hierarchical-Individual
8,21,17,8,Distributed-Collective
8,23,9,17,Hierarchical-Individual
16,21,12,8,Distributed-Collective
16,23,5,17,Hierarchical-Individual
8,21,8,12,Distributed-Collective
8,23,5,21,Hierarchical-Individual
8,21,8,8,Distributed-Collective
8,23,5,17,Hierarchical-Individual
16,21,12,5,Distributed-Collective
16,23,5,8,Hierarchical-Individual
8,21,8,12,Distributed-Collective
8,23,5,21,Hierarchical-Individual
8,21,12,12,Distributed-Collective
8,23,5,21,Hierarchical-Individual
11,20,5,21,Hierarchical-Collective
10,15,10,21,Hierarchical-Individual
11,20,5,25,Hierarchical-Collective
10,15,10,25,Hierarchical-Individual
11,20,5,17,Hierarchical-Collective
10,15,14,17,Hierarchical-Individual
11,20,5,21,Hierarchical-Collective
10,15,14,21,Hierarchical-Individual
8,19,8,12,Distributed-Collective
9,13,17,12,Distributed-Collective
12,12,17,17,Hierarchical-Individual
11,11,18,17,Distributed-Individual
12,12,13,17,Hierarchical-Individual
11,11,13,17,Distributed-Individual
12,12,13,12,Hierarchical-Individual
11,11,13,12,Distributed-Individual
12,12,13,12,Hierarchical-Individual
11,11,13,12,Distributed-Individual
12,12,13,12,Hierarchical-Individual
11,11,13,12,Distributed-Individual
12,12,13,12,Hierarchical-Individual
11,11,13,12,Distributed-Individual
12,12,13,8,Hierarchical-Individual
11,11,13,8,Distributed-Individual
20,12,9,5,Hierarchical-Individual
19,11,9,5,Distributed-Individual
11,12,22,17,Distributed-Individual
20,12,18,12,Distributed-Individual
11,12,18,25,Distributed-Individual
11,12,18,21,Distributed-Individual
9,10,16,17,Distributed-Individual
9,20,12,25,Hierarchical-Collective
9,10,20,12,Distributed-Individual
9,20,16,21,Hierarchical-Collective
9,10,16,12,Distributed-Individual
9,20,12,21,Hierarchical-Collective
9,10,16,12,Distributed-Individual
9,20,12,21,Hierarchical-Collective
17,10,16,5,Distributed-Individual
17,20,12,12,Hierarchical-Collective
17,10,16,5,Distributed-Individual
17,20,12,12,Hierarchical-Collective
17,10,16,5,Distributed-Individual
17,20,12,12,Hierarchical-Collective
9,10,16,17,Distributed-Individual
9,20,12,25,Hierarchical-Collective
9,10,12,12,Distributed-Individual
9,20,8,21,Hierarchical-Collective
17,13,18,5,Hierarchical-Individual
15,23,7,5,Distributed-Individual
16,23,11,12,Hierarchical-Collective
8,13,13,8,Hierarchical-Individual
6,23,5,8,Distributed-Individual
7,23,7,17,Hierarchical-Collective
8,13,18,8,Hierarchical-Individual
6,23,7,8,Distributed-Individual
7,23,11,17,Hierarchical-Collective
17,13,18,5,Hierarchical-Individual
15,23,7,5,Distributed-Individual
16,23,11,12,Hierarchical-Collective
8,13,22,12,Hierarchical-Individual
6,23,11,12,Distributed-Individual
7,23,15,21,Hierarchical-Collective
9,15,20,8,Hierarchical-Individual
10,21,15,17,Distributed-Individual
7,21,15,17,Distributed-Individual
8,20,15,8,Hierarchical-Collective
9,15,15,12,Hierarchical-Individual
10,21,10,21,Distributed-Individual
7,21,11,21,Distributed-Individual
8,20,10,12,Hierarchical-Collective
17,15,11,5,Hierarchical-Individual
18,21,6,12,Distributed-Individual
15,21,7,12,Distributed-Individual
17,20,6,5,Hierarchical-Collective
9,15,20,12,Hierarchical-Individual
10,21,15,21,Distributed-Individual
7,21,15,21,Distributed-Individual
8,20,15,12,Hierarchical-Collective
12,12,24,21,Distributed-Collective
9,20,15,21,Distributed-Collective
8,18,9,21,Hierarchical-Individual
12,12,20,21,Distributed-Collective
9,20,10,21,Distributed-Collective
8,18,5,21,Hierarchical-Individual
